Month,SKU,Facility,Excess_Inventory,Marginal,Lower,Upper,Scale
108,SKUT2,Austin,21158.833333333336,0.0,0.0,inf,1.0
46,SKUT2,Austin,20976.833333333336,0.0,0.0,inf,1.0
101,SKUD3,Columbus,20943.023809523787,0.0,0.0,inf,1.0
86,SKUT3,Austin,20933.833333333332,0.0,0.0,inf,1.0
59,SKUT2,Austin,20845.833333333336,0.0,0.0,inf,1.0
78,SKUD3,Columbus,20736.738095238077,0.0,0.0,inf,1.0
69,SKUT3,Austin,20726.833333333332,0.0,0.0,inf,1.0
43,SKUT3,Austin,20687.833333333332,0.0,0.0,inf,1.0
47,SKUT2,Austin,20558.833333333336,0.0,0.0,inf,1.0
107,SKUT3,Austin,20361.833333333332,0.0,0.0,inf,1.0
100,SKUE1,Austin,20172.630952380947,0.0,0.0,inf,1.0
109,SKUT3,Austin,20124.833333333332,0.0,0.0,inf,1.0
80,SKUD1,Columbus,19988.0,0.0,0.0,inf,1.0
67,SKUE1,Austin,19824.023809523816,0.0,0.0,inf,1.0
70,SKUT2,Austin,19807.833333333336,0.0,0.0,inf,1.0
32,SKUT2,Austin,19708.833333333336,0.0,0.0,inf,1.0
98,SKUT2,Austin,19606.833333333336,0.0,0.0,inf,1.0
56,SKUE1,Austin,19588.03571428571,0.0,0.0,inf,1.0
76,SKUT3,Austin,19470.833333333332,0.0,0.0,inf,1.0
111,SKUE1,Austin,19306.48809523809,0.0,0.0,inf,1.0
70,SKUT3,Austin,19059.833333333332,0.0,0.0,inf,1.0
77,SKUE1,Austin,19014.190476190473,0.0,0.0,inf,1.0
95,SKUT3,Austin,18882.833333333332,0.0,0.0,inf,1.0
98,SKUT3,Austin,18712.833333333332,0.0,0.0,inf,1.0
53,SKUT2,Austin,18709.833333333336,0.0,0.0,inf,1.0
64,SKUT2,Austin,18695.833333333336,0.0,0.0,inf,1.0
107,SKUE1,Austin,18641.52380952381,0.0,0.0,inf,1.0
89,SKUE1,Austin,18404.0,0.0,0.0,inf,1.0
83,SKUT3,Austin,18402.833333333332,0.0,0.0,inf,1.0
42,SKUT3,Austin,18326.833333333332,0.0,0.0,inf,1.0
21,SKUT2,Austin,18175.833333333336,0.0,0.0,inf,1.0
96,SKUT2,Austin,17850.833333333336,0.0,0.0,inf,1.0
120,SKUE1,Austin,17840.904761904763,0.0,0.0,inf,1.0
85,SKUT3,Austin,17820.833333333332,0.0,0.0,inf,1.0
40,SKUT2,Austin,17689.833333333336,0.0,0.0,inf,1.0
82,SKUT3,Austin,17681.833333333332,0.0,0.0,inf,1.0
67,SKUD3,Columbus,17654.21428571426,0.0,0.0,inf,1.0
78,SKUD1,Columbus,17534.28571428571,0.0,0.0,inf,1.0
118,SKUD3,Columbus,17274.21428571426,0.0,0.0,inf,1.0
58,SKUT3,Austin,17225.833333333332,0.0,0.0,inf,1.0
93,SKUE1,Austin,17110.416666666664,0.0,0.0,inf,1.0
20,SKUT3,Austin,17083.833333333332,0.0,0.0,inf,1.0
108,SKUE1,Austin,17009.571428571428,0.0,0.0,inf,1.0
87,SKUT3,Austin,16596.833333333332,0.0,0.0,inf,1.0
83,SKUT2,Austin,16566.833333333336,0.0,0.0,inf,1.0
92,SKUE1,Austin,16539.130952380954,0.0,0.0,inf,1.0
84,SKUT2,Austin,16232.833333333336,0.0,0.0,inf,1.0
44,SKUE1,Austin,16199.738095238099,0.0,0.0,inf,1.0
119,SKUE1,Austin,16145.988095238099,0.0,0.0,inf,1.0
55,SKUE1,Austin,16040.535714285717,0.0,0.0,inf,1.0
73,SKUT3,Austin,16012.833333333332,0.0,0.0,inf,1.0
96,SKUT3,Austin,15910.833333333332,0.0,0.0,inf,1.0
53,SKUT3,Austin,15829.833333333332,0.0,0.0,inf,1.0
101,SKUD1,Columbus,15728.380952380947,0.0,0.0,inf,1.0
110,SKUE1,Austin,15645.857142857145,0.0,0.0,inf,1.0
94,SKUE1,Austin,15520.952380952382,0.0,0.0,inf,1.0
66,SKUD1,Columbus,15502.190476190473,0.0,0.0,inf,1.0
113,SKUC2,Columbus,15357.0,0.0,0.0,inf,1.0
39,SKUT2,Austin,15314.833333333336,0.0,0.0,inf,1.0
32,SKUE1,Austin,15086.857142857145,0.0,0.0,inf,1.0
99,SKUE1,Austin,15063.821428571428,0.0,0.0,inf,1.0
100,SKUD1,Sacramento,15041.666666666672,0.0,0.0,inf,1.0
109,SKUE1,Austin,15023.892857142855,0.0,0.0,inf,1.0
75,SKUT3,Austin,14962.833333333332,0.0,0.0,inf,1.0
98,SKUE1,Austin,14878.511904761908,0.0,0.0,inf,1.0
68,SKUE1,Austin,14870.321428571428,0.0,0.0,inf,1.0
81,SKUT3,Austin,14859.833333333332,0.0,0.0,inf,1.0
97,SKUT3,Austin,14629.833333333332,0.0,0.0,inf,1.0
63,SKUT3,Austin,14267.833333333332,0.0,0.0,inf,1.0
97,SKUT2,Austin,14208.833333333336,0.0,0.0,inf,1.0
54,SKUE1,Austin,14178.738095238099,0.0,0.0,inf,1.0
64,SKUT3,Austin,14141.833333333332,0.0,0.0,inf,1.0
92,SKUD1,Columbus,14020.190476190473,0.0,0.0,inf,1.0
87,SKUE1,Austin,13932.0,0.0,0.0,inf,1.0
57,SKUT3,Austin,13837.833333333332,0.0,0.0,inf,1.0
105,SKUE1,Austin,13817.845238095237,0.0,0.0,inf,1.0
7,SKUT2,Austin,13770.833333333336,0.0,0.0,inf,1.0
84,SKUT3,Austin,13769.833333333332,0.0,0.0,inf,1.0
82,SKUE1,Austin,13486.130952380954,0.0,0.0,inf,1.0
74,SKUT3,Austin,13431.833333333332,0.0,0.0,inf,1.0
52,SKUT3,Austin,13317.833333333332,0.0,0.0,inf,1.0
31,SKUT3,Austin,12794.833333333332,0.0,0.0,inf,1.0
43,SKUE1,Austin,12771.0,0.0,0.0,inf,1.0
88,SKUE1,Austin,12709.571428571428,0.0,0.0,inf,1.0
65,SKUE1,Austin,12616.404761904763,0.0,0.0,inf,1.0
58,SKUT2,Austin,12522.833333333336,0.0,0.0,inf,1.0
46,SKUT3,Austin,12399.833333333332,0.0,0.0,inf,1.0
69,SKUE1,Austin,12199.202380952382,0.0,0.0,inf,1.0
51,SKUT3,Austin,12132.833333333332,0.0,0.0,inf,1.0
60,SKUT3,Austin,11950.833333333332,0.0,0.0,inf,1.0
27,SKUT2,Austin,11931.833333333336,0.0,0.0,inf,1.0
45,SKUT3,Austin,11902.833333333332,0.0,0.0,inf,1.0
90,SKUD3,Sacramento,11850.166666666642,0.0,0.0,inf,1.0
120,SKUD1,Columbus,11732.047619047618,0.0,0.0,inf,1.0
79,SKUC2,Sacramento,11691.0,0.0,0.0,inf,1.0
96,SKUE1,Austin,11673.47619047619,0.0,0.0,inf,1.0
72,SKUT3,Austin,11594.833333333332,0.0,0.0,inf,1.0
19,SKUT3,Austin,11418.833333333332,0.0,0.0,inf,1.0
71,SKUT2,Austin,11363.833333333336,0.0,0.0,inf,1.0
67,SKUD1,Columbus,11349.333333333328,0.0,0.0,inf,1.0
33,SKUT3,Austin,11164.833333333332,0.0,0.0,inf,1.0
20,SKUE1,Austin,11121.642857142855,0.0,0.0,inf,1.0
31,SKUE1,Austin,11044.857142857145,0.0,0.0,inf,1.0
45,SKUT2,Austin,10936.833333333336,0.0,0.0,inf,1.0
71,SKUT3,Austin,10933.833333333332,0.0,0.0,inf,1.0
75,SKUE1,Austin,10834.46428571429,0.0,0.0,inf,1.0
95,SKUE1,Austin,10526.809523809527,0.0,0.0,inf,1.0
117,SKUD1,Sacramento,10364.952380952382,0.0,0.0,inf,1.0
81,SKUE1,Austin,10318.46428571429,0.0,0.0,inf,1.0
52,SKUT2,Austin,10309.833333333336,0.0,0.0,inf,1.0
86,SKUE1,Austin,10219.154761904763,0.0,0.0,inf,1.0
111,SKUD1,Sacramento,10167.714285714275,0.0,0.0,inf,1.0
104,SKUC2,Columbus,10059.0,0.0,0.0,inf,1.0
63,SKUE1,Austin,9984.702380952382,0.0,0.0,inf,1.0
30,SKUT3,Austin,9918.833333333332,0.0,0.0,inf,1.0
117,SKUD3,Sacramento,9802.690476190444,0.0,0.0,inf,1.0
70,SKUE1,Austin,9763.559523809527,0.0,0.0,inf,1.0
85,SKUE1,Austin,9695.47619047619,0.0,0.0,inf,1.0
106,SKUD3,Sacramento,9677.833333333314,0.0,0.0,inf,1.0
83,SKUE1,Austin,9543.44047619048,0.0,0.0,inf,1.0
66,SKUC2,Columbus,9539.0,0.0,0.0,inf,1.0
76,SKUE1,Austin,9530.642857142855,0.0,0.0,inf,1.0
58,SKUE1,Austin,9289.02380952381,0.0,0.0,inf,1.0
115,SKUD1,Austin,9100.57142857143,0.0,0.0,inf,1.0
42,SKUE1,Austin,9004.916666666672,0.0,0.0,inf,1.0
60,SKUT2,Austin,8969.833333333336,0.0,0.0,inf,1.0
97,SKUE1,Austin,8888.202380952382,0.0,0.0,inf,1.0
28,SKUT2,Austin,8758.833333333336,0.0,0.0,inf,1.0
62,SKUT3,Austin,8562.833333333332,0.0,0.0,inf,1.0
73,SKUT2,Austin,8422.833333333336,0.0,0.0,inf,1.0
103,SKUD1,Austin,8395.999999999998,0.0,0.0,inf,1.0
61,SKUT3,Austin,8384.833333333332,0.0,0.0,inf,1.0
50,SKUT2,Austin,8353.833333333336,0.0,0.0,inf,1.0
48,SKUT2,Austin,8317.833333333336,0.0,0.0,inf,1.0
101,SKUC2,Columbus,8293.0,0.0,0.0,inf,1.0
52,SKUE1,Austin,8291.321428571428,0.0,0.0,inf,1.0
17,SKUT2,Austin,8279.833333333336,0.0,0.0,inf,1.0
48,SKUT3,Austin,8213.833333333332,0.0,0.0,inf,1.0
49,SKUT3,Austin,8164.833333333332,0.0,0.0,inf,1.0
63,SKUT2,Austin,8119.833333333336,0.0,0.0,inf,1.0
