Month,Day,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
114,16,Racking,3107328,77651.47619047618,2.4989790646650816
114,16,Bins,10631520,140626.2619047619,1.3227295993871233
114,16,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,17,Pallet,3583152,290528.9523809524,8.108195029989027
114,17,Racking,3107328,77651.47619047618,2.4989790646650816
114,17,Bins,10631520,140626.2619047619,1.3227295993871233
114,17,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,18,Pallet,3583152,290528.9523809524,8.108195029989027
114,18,Racking,3107328,77651.47619047618,2.4989790646650816
114,18,Bins,10631520,140626.2619047619,1.3227295993871233
114,18,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,19,Pallet,3583152,290528.9523809524,8.108195029989027
114,19,Racking,3107328,77651.47619047618,2.4989790646650816
114,19,Bins,10631520,140626.2619047619,1.3227295993871233
114,19,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,20,Pallet,3583152,290528.9523809524,8.108195029989027
114,20,Racking,3107328,77651.47619047618,2.4989790646650816
114,20,Bins,10631520,140626.2619047619,1.3227295993871233
114,20,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,21,Pallet,3583152,290528.9523809524,8.108195029989027
114,21,Racking,3107328,77651.47619047618,2.4989790646650816
114,21,Bins,10631520,140626.2619047619,1.3227295993871233
114,21,Hazmat,2015360,29831.595238095237,1.4802117357740174
115,1,Pallet,3583152,403320.6666666667,11.256030072591582
115,1,Racking,3107328,106569.35714285713,3.429614033113245
115,1,Bins,10631520,185190.88095238095,1.7419040828816665
115,1,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,2,Pallet,3583152,403320.6666666667,11.256030072591582
115,2,Racking,3107328,106569.35714285713,3.429614033113245
115,2,Bins,10631520,185190.88095238095,1.7419040828816665
115,2,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,3,Pallet,3583152,403320.6666666667,11.256030072591582
115,3,Racking,3107328,106569.35714285713,3.429614033113245
115,3,Bins,10631520,185190.88095238095,1.7419040828816665
115,3,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,4,Pallet,3583152,403320.6666666667,11.256030072591582
115,4,Racking,3107328,106569.35714285713,3.429614033113245
115,4,Bins,10631520,185190.88095238095,1.7419040828816665
115,4,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,5,Pallet,3583152,403320.6666666667,11.256030072591582
115,5,Racking,3107328,106569.35714285713,3.429614033113245
115,5,Bins,10631520,185190.88095238095,1.7419040828816665
