Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,13,Austin,VoltEdge,International,45105.71429,870.0947972,2,50.11746032,12.08464996,weight,1,SKUE1
1,14,Columbus,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,14,Columbus,Canvas & Co.,Domestic,15074.7619,376.8690476,1,33.4994709,10.46858466,weight,1,SKUA3
1,14,Columbus,Form & Function,Domestic,65105,119049.1429,34,4.255228758,97.26237162,volume,1,SKUD3
1,14,Columbus,VoltEdge,International,45105.71429,870.0947972,2,50.11746032,12.08464996,weight,1,SKUE1
1,14,Sacramento,The Write Stuff,International,47619.04762,952.7336861,2,52.91005291,13.23241231,weight,2,"SKUW1,SKUW3"
1,14,Sacramento,Form & Function,Domestic,105178.5714,89752.38095,25,9.349206349,99.72486772,volume,1,SKUD2
1,14,Sacramento,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,14,Austin,Canvas & Co.,Domestic,13563.42857,340.2247299,1,30.14095238,9.450686943,weight,2,"SKUA1,SKUA2"
1,14,Austin,Bound to Learn,Domestic,1560800,74719.31548,35,99.0984127,59.30104403,weight,4,"SKUT1,SKUT2,SKUT3,SKUT4"
1,14,Austin,Form & Function,Domestic,586613.3333,181028.8836,51,25.56049383,98.5996098,volume,3,"SKUD1,SKUC1,SKUC2"
1,14,Austin,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,15,Columbus,Bound to Learn,Domestic,22310.71429,650.7291667,1,49.57936508,18.07581019,weight,1,SKUT4
1,15,Columbus,Form & Function,Domestic,546846.1905,217097.6667,61,19.92153699,98.86050395,volume,3,"SKUD1,SKUD2,SKUC2"
1,15,Columbus,VoltEdge,International,132305.7143,14822.0948,5,58.80253968,82.3449711,volume,2,"SKUE1,SKUE3"
1,15,Sacramento,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,15,Sacramento,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,15,Sacramento,Bound to Learn,Domestic,982928.5714,47657.14286,22,99.28571429,60.17316017,weight,1,SKUT2
