sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,num_shipped_immediately,total_delay_days,days_above_baseline,pct_days_above_baseline,shipment_balance_ok,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim14,2365905,151195.64920634922,15.647970113022588,84,24,215.54885306505665,0,0.0,True,14,0.1,3.0,Low Disruption
TotalInventory_Sim15,2106228,134152.4380952381,15.700258824254371,91,23,282.9505487208212,0,0.0,True,15,0.1,3.0,Low Disruption
TotalInventory_Sim16,2365905,148923.726984127,15.886689434331506,87,21,232.01640680366543,0,0.0,True,16,0.1,3.0,Low Disruption
TotalInventory_Sim17,2365905,133287.30952380953,17.75041456274103,85,22,277.25913464470534,0,0.0,True,17,0.1,3.0,Low Disruption
TotalInventory_Sim18,2106228,143082.12936507937,14.720412740195396,84,21,262.1960963963347,0,0.0,True,18,0.1,3.0,Low Disruption
TotalInventory_Sim19,2106228,124988.42539682539,16.851384384697564,91,26,318.9170122531645,0,0.0,True,19,0.1,3.0,Low Disruption
TotalInventory_Sim20,1823494,134122.9841269841,13.595686167208775,90,26,285.20378291439965,0,0.0,True,20,0.1,3.0,Low Disruption
TotalInventory_Sim21,2365905,136453.50793650793,17.338542891113214,83,24,280.0240559497277,0,0.0,True,21,0.1,3.0,Low Disruption
TotalInventory_Sim22,2106228,144510.2503968254,14.57493841589987,83,27,258.15401632872477,0,0.0,True,22,0.1,3.0,Low Disruption
TotalInventory_Sim23,2106228,139339.32023809524,15.115819399728629,84,25,261.7517456607722,0,0.0,True,23,0.1,3.0,Low Disruption
TotalInventory_Sim24,2365905,120116.58174603175,19.696739331147022,96,27,296.45188343436166,0,0.0,True,24,0.1,3.0,Low Disruption
TotalInventory_Sim25,2365905,130654.7126984127,18.108072423389462,88,30,285.5869245716889,0,0.0,True,25,0.1,3.0,Low Disruption
TotalInventory_Sim26,2365905,145055.07182539682,16.31039142738729,85,20,246.41493719011703,0,0.0,True,26,0.1,3.0,Low Disruption
TotalInventory_Sim27,2365905,141995.73055555555,16.661803779194223,86,28,272.7365637431176,0,0.0,True,27,0.1,3.0,Low Disruption
TotalInventory_Sim28,2365905,136218.5007936508,17.368455725290698,85,26,277.133101460164,0,0.0,True,28,0.1,3.0,Low Disruption
TotalInventory_Sim29,2365905,138279.46547619047,17.109590291317488,88,21,231.51205882057107,0,0.0,True,29,0.1,3.0,Low Disruption
TotalInventory_Sim30,2365905,135564.33055555556,17.452267792746778,87,31,301.61831034460397,0,0.0,True,30,0.1,3.0,Low Disruption
TotalInventory_Sim31,2365905,143313.62380952382,16.50858402090573,87,20,238.45646592576577,0,0.0,True,31,0.1,3.0,Low Disruption
TotalInventory_Sim32,2365905,132939.3464285714,17.796875519251973,97,25,298.1534163499072,0,0.0,True,32,0.1,3.0,Low Disruption
TotalInventory_Sim33,2365905,138209.8003968254,17.118214433470403,79,20,264.418859655594,0,0.0,True,33,0.1,3.0,Low Disruption
TotalInventory_Sim34,2365905,143885.8630952381,16.442928784699347,88,18,265.3342449135371,0,0.0,True,34,0.1,3.0,Low Disruption
TotalInventory_Sim35,2365905,143488.9388888889,16.4884137991434,90,16,248.17857975837217,0,0.0,True,35,0.1,3.0,Low Disruption
TotalInventory_Sim36,2106228,134444.35357142857,15.666169266684658,86,25,271.9935363266859,0,0.0,True,36,0.1,3.0,Low Disruption
TotalInventory_Sim37,2365905,137469.96031746033,17.210341768750055,93,20,233.4142958345006,0,0.0,True,37,0.1,3.0,Low Disruption
TotalInventory_Sim38,2365905,134165.76150793652,17.63419350368347,88,28,287.01940204642,0,0.0,True,38,0.1,3.0,Low Disruption
TotalInventory_Sim39,2365905,155442.77420634922,15.220424442883896,78,18,210.28160745295892,0,0.0,True,39,0.1,3.0,Low Disruption
TotalInventory_Sim40,2365905,142260.75595238095,16.630763587337757,84,23,271.78188487857153,0,0.0,True,40,0.1,3.0,Low Disruption
TotalInventory_Sim41,2365905,137724.66746031746,17.178513069793304,84,24,263.47588854540135,0,0.0,True,41,0.1,3.0,Low Disruption
TotalInventory_Sim42,2365905,142697.21587301587,16.579896009361413,82,24,254.2414518802483,0,0.0,True,42,0.1,3.0,Low Disruption
TotalInventory_Sim43,2365905,150650.075,15.70463871325653,83,21,234.0263796701647,0,0.0,True,43,0.1,3.0,Low Disruption
TotalInventory_Sim44,2106228,129575.14404761905,16.254876778110763,90,27,292.97984255935364,0,0.0,True,44,0.1,3.0,Low Disruption
TotalInventory_Sim45,2365905,141929.54444444444,16.669573690670777,86,18,238.1266804249245,0,0.0,True,45,0.1,3.0,Low Disruption
TotalInventory_Sim46,2365905,138718.65952380953,17.055419999887746,84,25,268.3398447027925,0,0.0,True,46,0.1,3.0,Low Disruption
TotalInventory_Sim47,2365905,140218.648015873,16.87296970465851,89,17,241.76696268264593,0,0.0,True,47,0.1,3.0,Low Disruption
TotalInventory_Sim48,2365905,147179.14404761905,16.075001762712546,83,16,205.6066070904472,0,0.0,True,48,0.1,3.0,Low Disruption
TotalInventory_Sim49,2365905,131947.81904761904,17.93061088145884,88,30,292.958049037083,0,0.0,True,49,0.1,3.0,Low Disruption
TotalInventory_Sim50,2365905,131938.16746031746,17.93192254782214,93,23,285.0541197806503,0,0.0,True,50,0.1,3.0,Low Disruption
TotalInventory_Sim1,1740216,74359.56984126984,23.40271741370636,116,57,635.277023840848,0,0.0,True,1,0.3,5.0,Moderate Disruption
TotalInventory_Sim2,2106228,77060.44444444444,27.332154845258557,118,57,556.3629402878126,0,0.0,True,2,0.3,5.0,Moderate Disruption
