t_month,t_day,sup,f,level,marginal,lower,upper,scale
13,5,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,5,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,5,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,5,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,5,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,5,International,Austin,0.0,-0.0,0.0,inf,1.0
13,6,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,6,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,6,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,6,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,6,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,6,International,Austin,0.0,-0.0,0.0,inf,1.0
13,7,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,7,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,7,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,7,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,7,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,7,International,Austin,0.0,-0.0,0.0,inf,1.0
13,8,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,8,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,8,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,8,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,8,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,8,International,Austin,0.0,-0.0,0.0,inf,1.0
13,9,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,9,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,9,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,9,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,9,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,9,International,Austin,0.0,-0.0,0.0,inf,1.0
13,10,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,10,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,10,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,10,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,10,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,10,International,Austin,0.0,-0.0,0.0,inf,1.0
13,11,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,11,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,11,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,11,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,11,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,11,International,Austin,0.0,-0.0,0.0,inf,1.0
13,12,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,12,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,12,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,12,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,12,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,12,International,Austin,0.0,-0.0,0.0,inf,1.0
13,13,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,13,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,13,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,13,International,Columbus,1959.7783333333334,0.0,0.0,inf,1.0
13,13,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,13,International,Austin,0.0,-0.0,0.0,inf,1.0
13,14,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,14,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,14,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,14,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,14,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,14,International,Austin,0.0,-0.0,0.0,inf,1.0
13,15,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,15,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,15,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,15,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,15,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,15,International,Austin,0.0,-0.0,0.0,inf,1.0
13,16,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,16,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,16,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,16,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,16,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,16,International,Austin,0.0,-0.0,0.0,inf,1.0
13,17,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,17,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,17,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,17,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,17,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,17,International,Austin,0.0,-0.0,0.0,inf,1.0
13,18,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,18,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,18,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,18,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,18,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,18,International,Austin,0.0,-0.0,0.0,inf,1.0
13,19,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,19,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,19,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,19,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,19,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,19,International,Austin,0.0,-0.0,0.0,inf,1.0
13,20,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,20,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,20,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,20,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,20,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,20,International,Austin,0.0,-0.0,0.0,inf,1.0
13,21,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,21,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,21,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,21,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,21,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,21,International,Austin,0.0,-0.0,0.0,inf,1.0
14,1,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,1,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,1,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,1,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,1,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,1,International,Austin,0.0,-0.0,0.0,inf,1.0
14,2,Domestic,Columbus,217171.69044642858,0.0,0.0,inf,1.0
14,2,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,2,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,2,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,2,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,2,International,Austin,0.0,-0.0,0.0,inf,1.0
14,3,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,3,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,3,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,3,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,3,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,3,International,Austin,0.0,-0.0,0.0,inf,1.0
14,4,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,4,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,4,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,4,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,4,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,4,International,Austin,0.0,-0.0,0.0,inf,1.0
14,5,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,5,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,5,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,5,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,5,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,5,International,Austin,0.0,-0.0,0.0,inf,1.0
14,6,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,6,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,6,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,6,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,6,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,6,International,Austin,0.0,-0.0,0.0,inf,1.0
14,7,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,7,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,7,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,7,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,7,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,7,International,Austin,0.0,-0.0,0.0,inf,1.0
